CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
402,0402/2025,FIR/0402/2025,2025-03-29,5,3,1,2,5,9,2,3,2025-03-29 12:00:00,2025-03-29 12:30:00,2025-03-29 13:15:00,13.033623,77.719187,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0336, 77.7192)."
403,0403/2025,FIR/0403/2025,2025-02-10,6,3,1,2,5,10,1,3,2025-02-10 00:00:00,2025-02-10 00:30:00,2025-02-10 01:15:00,13.135048,77.700181,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1350, 77.7002)."
404,0404/2025,FIR/0404/2025,2025-01-21,5,3,1,2,5,9,3,3,2025-01-21 17:00:00,2025-01-21 17:30:00,2025-01-21 18:15:00,12.933294,77.351924,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9333, 77.3519)."
405,0405/2025,FIR/0405/2025,2025-08-11,6,3,1,2,5,10,3,3,2025-08-11 10:00:00,2025-08-11 10:30:00,2025-08-11 11:15:00,12.901954,77.414692,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9020, 77.4147)."
406,0406/2025,FIR/0406/2025,2025-07-31,5,3,1,2,5,9,2,3,2025-07-31 00:00:00,2025-07-31 00:30:00,2025-07-31 01:15:00,13.002261,77.708049,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0023, 77.7080)."
407,0407/2025,FIR/0407/2025,2025-11-15,6,3,1,2,5,10,3,3,2025-11-15 10:00:00,2025-11-15 10:30:00,2025-11-15 11:15:00,12.943189,77.420504,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9432, 77.4205)."
408,0408/2025,FIR/0408/2025,2025-11-27,5,3,1,2,5,9,2,3,2025-11-27 10:00:00,2025-11-27 10:30:00,2025-11-27 11:15:00,13.121094,77.717762,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1211, 77.7178)."
409,0409/2025,FIR/0409/2025,2025-12-14,6,3,1,2,5,10,1,3,2025-12-14 23:00:00,2025-12-14 23:30:00,2025-12-14 23:15:00,13.132752,77.715975,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1328, 77.7160)."
410,0410/2025,FIR/0410/2025,2025-10-15,5,3,1,2,5,9,3,3,2025-10-15 13:00:00,2025-10-15 13:30:00,2025-10-15 14:15:00,13.008611,77.693249,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0086, 77.6932)."
411,0411/2025,FIR/0411/2025,2025-10-09,6,3,1,2,5,10,1,3,2025-10-09 20:00:00,2025-10-09 20:30:00,2025-10-09 21:15:00,13.095723,77.504186,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0957, 77.5042)."
412,0412/2025,FIR/0412/2025,2025-01-31,5,3,1,2,5,9,3,3,2025-01-31 14:00:00,2025-01-31 14:30:00,2025-01-31 15:15:00,13.05954,77.701997,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0595, 77.7020)."
413,0413/2025,FIR/0413/2025,2025-08-14,6,3,1,2,5,10,2,3,2025-08-14 06:00:00,2025-08-14 06:30:00,2025-08-14 07:15:00,12.939663,77.35856,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9397, 77.3586)."
414,0414/2025,FIR/0414/2025,2025-06-19,5,3,1,2,5,9,3,3,2025-06-19 05:00:00,2025-06-19 05:30:00,2025-06-19 06:15:00,13.123902,77.712291,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1239, 77.7123)."
415,0415/2025,FIR/0415/2025,2025-12-18,6,3,1,2,5,10,3,3,2025-12-18 19:00:00,2025-12-18 19:30:00,2025-12-18 20:15:00,13.117866,77.715037,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1179, 77.7150)."
416,0416/2025,FIR/0416/2025,2025-01-23,5,3,1,2,5,9,1,3,2025-01-23 06:00:00,2025-01-23 06:30:00,2025-01-23 07:15:00,12.917492,77.364462,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9175, 77.3645)."
417,0417/2025,FIR/0417/2025,2025-05-22,6,3,1,2,5,10,1,3,2025-05-22 03:00:00,2025-05-22 03:30:00,2025-05-22 04:15:00,13.124484,77.705871,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1245, 77.7059)."
418,0418/2025,FIR/0418/2025,2025-06-19,5,3,1,2,5,9,3,3,2025-06-19 03:00:00,2025-06-19 03:30:00,2025-06-19 04:15:00,12.922057,77.364696,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9221, 77.3647)."
419,0419/2025,FIR/0419/2025,2025-06-15,6,3,1,2,5,10,3,3,2025-06-15 03:00:00,2025-06-15 03:30:00,2025-06-15 04:15:00,12.933576,77.344467,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9336, 77.3445)."
420,0420/2025,FIR/0420/2025,2025-11-14,5,3,1,2,5,9,3,3,2025-11-14 01:00:00,2025-11-14 01:30:00,2025-11-14 02:15:00,12.755789,77.760983,"Incident of Theft reported in Bangalore Urban district at coordinates (12.7558, 77.7610)."
421,0421/2025,FIR/0421/2025,2025-09-20,6,3,1,2,5,10,2,3,2025-09-20 09:00:00,2025-09-20 09:30:00,2025-09-20 10:15:00,13.113924,77.709089,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1139, 77.7091)."
422,0422/2025,FIR/0422/2025,2025-12-19,5,3,1,2,5,9,1,3,2025-12-19 12:00:00,2025-12-19 12:30:00,2025-12-19 13:15:00,12.937567,77.355581,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9376, 77.3556)."
423,0423/2025,FIR/0423/2025,2025-11-16,6,3,1,2,5,10,1,3,2025-11-16 20:00:00,2025-11-16 20:30:00,2025-11-16 21:15:00,12.846439,77.724046,"Incident of Theft reported in Bangalore Urban district at coordinates (12.8464, 77.7240)."
424,0424/2025,FIR/0424/2025,2025-01-13,5,3,1,2,5,9,3,3,2025-01-13 21:00:00,2025-01-13 21:30:00,2025-01-13 22:15:00,13.014073,77.694183,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0141, 77.6942)."
425,0425/2025,FIR/0425/2025,2025-10-17,6,3,1,2,5,10,1,3,2025-10-17 06:00:00,2025-10-17 06:30:00,2025-10-17 07:15:00,13.143018,77.700622,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1430, 77.7006)."
426,0426/2025,FIR/0426/2025,2025-08-04,5,3,1,2,5,9,2,3,2025-08-04 10:00:00,2025-08-04 10:30:00,2025-08-04 11:15:00,13.0354,77.717448,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0354, 77.7174)."
427,0427/2025,FIR/0427/2025,2025-01-30,6,3,1,2,5,10,2,3,2025-01-30 22:00:00,2025-01-30 22:30:00,2025-01-30 23:15:00,13.083873,77.504486,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0839, 77.5045)."
428,0428/2025,FIR/0428/2025,2025-11-19,5,3,1,2,5,9,3,3,2025-11-19 03:00:00,2025-11-19 03:30:00,2025-11-19 04:15:00,13.005208,77.69411,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0052, 77.6941)."
429,0429/2025,FIR/0429/2025,2025-04-27,6,3,1,2,5,10,2,3,2025-04-27 21:00:00,2025-04-27 21:30:00,2025-04-27 22:15:00,13.041902,77.709154,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0419, 77.7092)."
430,0430/2025,FIR/0430/2025,2025-03-30,5,3,1,2,5,9,1,3,2025-03-30 10:00:00,2025-03-30 10:30:00,2025-03-30 11:15:00,13.120071,77.650421,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1201, 77.6504)."
431,0431/2025,FIR/0431/2025,2025-08-12,6,3,1,2,5,10,1,3,2025-08-12 05:00:00,2025-08-12 05:30:00,2025-08-12 06:15:00,12.905936,77.798076,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9059, 77.7981)."
432,0432/2025,FIR/0432/2025,2025-12-10,5,3,1,2,5,9,3,3,2025-12-10 08:00:00,2025-12-10 08:30:00,2025-12-10 09:15:00,13.016297,77.693989,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0163, 77.6940)."
433,0433/2025,FIR/0433/2025,2025-01-28,6,3,1,2,5,10,3,3,2025-01-28 22:00:00,2025-01-28 22:30:00,2025-01-28 23:15:00,13.129809,77.715972,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1298, 77.7160)."
434,0434/2025,FIR/0434/2025,2025-04-05,5,3,1,2,5,9,2,3,2025-04-05 20:00:00,2025-04-05 20:30:00,2025-04-05 21:15:00,13.029065,77.711005,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0291, 77.7110)."
435,0435/2025,FIR/0435/2025,2025-06-16,6,3,1,2,5,10,3,3,2025-06-16 12:00:00,2025-06-16 12:30:00,2025-06-16 13:15:00,13.011851,77.69679,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0119, 77.6968)."
436,0436/2025,FIR/0436/2025,2025-04-23,5,3,1,2,5,9,1,3,2025-04-23 11:00:00,2025-04-23 11:30:00,2025-04-23 12:15:00,13.032059,77.717863,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0321, 77.7179)."
437,0437/2025,FIR/0437/2025,2025-05-01,6,3,1,2,5,10,3,3,2025-05-01 08:00:00,2025-05-01 08:30:00,2025-05-01 09:15:00,13.001306,77.68734,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0013, 77.6873)."
438,0438/2025,FIR/0438/2025,2025-10-01,5,3,1,2,5,9,1,3,2025-10-01 03:00:00,2025-10-01 03:30:00,2025-10-01 04:15:00,12.948151,77.368686,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9482, 77.3687)."
439,0439/2025,FIR/0439/2025,2025-10-06,6,3,1,2,5,10,1,3,2025-10-06 15:00:00,2025-10-06 15:30:00,2025-10-06 16:15:00,13.02059,77.692219,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0206, 77.6922)."
440,0440/2025,FIR/0440/2025,2025-12-05,5,3,1,2,5,9,2,3,2025-12-05 06:00:00,2025-12-05 06:30:00,2025-12-05 07:15:00,13.006568,77.703627,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0066, 77.7036)."
441,0441/2025,FIR/0441/2025,2025-11-15,6,3,1,2,5,10,2,3,2025-11-15 14:00:00,2025-11-15 14:30:00,2025-11-15 15:15:00,13.008077,77.693131,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0081, 77.6931)."
442,0442/2025,FIR/0442/2025,2025-04-13,5,3,1,2,5,9,1,3,2025-04-13 18:00:00,2025-04-13 18:30:00,2025-04-13 19:15:00,13.075775,77.461065,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0758, 77.4611)."
443,0443/2025,FIR/0443/2025,2025-12-17,6,3,1,2,5,10,3,3,2025-12-17 17:00:00,2025-12-17 17:30:00,2025-12-17 18:15:00,13.011868,77.680052,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0119, 77.6801)."
444,0444/2025,FIR/0444/2025,2025-12-20,5,3,1,2,5,9,3,3,2025-12-20 22:00:00,2025-12-20 22:30:00,2025-12-20 23:15:00,13.089029,77.511365,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0890, 77.5114)."
445,0445/2025,FIR/0445/2025,2025-01-09,6,3,1,2,5,10,2,3,2025-01-09 23:00:00,2025-01-09 23:30:00,2025-01-09 23:15:00,12.940759,77.361307,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9408, 77.3613)."
446,0446/2025,FIR/0446/2025,2025-11-27,5,3,1,2,5,9,2,3,2025-11-27 00:00:00,2025-11-27 00:30:00,2025-11-27 01:15:00,12.83434,77.684681,"Incident of Theft reported in Bangalore Urban district at coordinates (12.8343, 77.6847)."
447,0447/2025,FIR/0447/2025,2025-12-26,6,3,1,2,5,10,3,3,2025-12-26 22:00:00,2025-12-26 22:30:00,2025-12-26 23:15:00,12.786444,77.503118,"Incident of Theft reported in Bangalore Urban district at coordinates (12.7864, 77.5031)."
448,0448/2025,FIR/0448/2025,2025-01-21,5,3,1,2,5,9,1,3,2025-01-21 22:00:00,2025-01-21 22:30:00,2025-01-21 23:15:00,13.142046,77.709053,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1420, 77.7091)."
449,0449/2025,FIR/0449/2025,2025-11-02,6,3,1,2,5,10,1,3,2025-11-02 10:00:00,2025-11-02 10:30:00,2025-11-02 11:15:00,13.023044,77.691926,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0230, 77.6919)."
450,0450/2025,FIR/0450/2025,2025-04-02,5,3,1,2,5,9,3,3,2025-04-02 20:00:00,2025-04-02 20:30:00,2025-04-02 21:15:00,12.905648,77.646347,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9056, 77.6463)."
451,0451/2025,FIR/0451/2025,2025-08-28,6,3,1,2,5,10,2,3,2025-08-28 03:00:00,2025-08-28 03:30:00,2025-08-28 04:15:00,12.955324,77.57414,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9553, 77.5741)."
452,0452/2025,FIR/0452/2025,2025-06-23,5,3,1,2,5,9,3,3,2025-06-23 20:00:00,2025-06-23 20:30:00,2025-06-23 21:15:00,13.078189,77.520205,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0782, 77.5202)."
453,0453/2025,FIR/0453/2025,2025-03-01,6,3,1,2,5,10,2,3,2025-03-01 16:00:00,2025-03-01 16:30:00,2025-03-01 17:15:00,13.132573,77.699798,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1326, 77.6998)."
454,0454/2025,FIR/0454/2025,2025-07-26,5,3,1,2,5,9,2,3,2025-07-26 21:00:00,2025-07-26 21:30:00,2025-07-26 22:15:00,13.025756,77.692165,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0258, 77.6922)."
455,0455/2025,FIR/0455/2025,2025-01-17,6,3,1,2,5,10,3,3,2025-01-17 13:00:00,2025-01-17 13:30:00,2025-01-17 14:15:00,13.04759,77.716325,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0476, 77.7163)."
456,0456/2025,FIR/0456/2025,2025-06-28,5,3,1,2,5,9,3,3,2025-06-28 02:00:00,2025-06-28 02:30:00,2025-06-28 03:15:00,12.857151,77.719279,"Incident of Theft reported in Bangalore Urban district at coordinates (12.8572, 77.7193)."
457,0457/2025,FIR/0457/2025,2025-09-12,6,3,1,2,5,10,3,3,2025-09-12 04:00:00,2025-09-12 04:30:00,2025-09-12 05:15:00,12.898309,77.56136,"Incident of Theft reported in Bangalore Urban district at coordinates (12.8983, 77.5614)."
458,0458/2025,FIR/0458/2025,2025-12-16,5,3,1,2,5,9,2,3,2025-12-16 00:00:00,2025-12-16 00:30:00,2025-12-16 01:15:00,13.139008,77.707756,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1390, 77.7078)."
459,0459/2025,FIR/0459/2025,2025-03-17,6,3,1,2,5,10,3,3,2025-03-17 13:00:00,2025-03-17 13:30:00,2025-03-17 14:15:00,13.116131,77.698302,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1161, 77.6983)."
460,0460/2025,FIR/0460/2025,2025-01-29,5,3,1,2,5,9,2,3,2025-01-29 05:00:00,2025-01-29 05:30:00,2025-01-29 06:15:00,13.13043,77.715651,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1304, 77.7157)."
461,0461/2025,FIR/0461/2025,2025-12-01,6,3,1,2,5,10,3,3,2025-12-01 19:00:00,2025-12-01 19:30:00,2025-12-01 20:15:00,13.005224,77.702479,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0052, 77.7025)."
462,0462/2025,FIR/0462/2025,2025-12-21,5,3,1,2,5,9,1,3,2025-12-21 18:00:00,2025-12-21 18:30:00,2025-12-21 19:15:00,13.131166,77.711444,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1312, 77.7114)."
463,0463/2025,FIR/0463/2025,2025-01-30,6,3,1,2,5,10,3,3,2025-01-30 02:00:00,2025-01-30 02:30:00,2025-01-30 03:15:00,13.091763,77.515155,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0918, 77.5152)."
464,0464/2025,FIR/0464/2025,2025-12-01,5,3,1,2,5,9,2,3,2025-12-01 16:00:00,2025-12-01 16:30:00,2025-12-01 17:15:00,13.015766,77.706629,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0158, 77.7066)."
465,0465/2025,FIR/0465/2025,2025-06-02,6,3,1,2,5,10,2,3,2025-06-02 01:00:00,2025-06-02 01:30:00,2025-06-02 02:15:00,13.0384,77.712643,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0384, 77.7126)."
466,0466/2025,FIR/0466/2025,2025-07-25,5,3,1,2,5,9,1,3,2025-07-25 23:00:00,2025-07-25 23:30:00,2025-07-25 23:15:00,13.127808,77.712218,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1278, 77.7122)."
467,0467/2025,FIR/0467/2025,2025-04-11,6,3,1,2,5,10,1,3,2025-04-11 06:00:00,2025-04-11 06:30:00,2025-04-11 07:15:00,13.123306,77.707478,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1233, 77.7075)."
468,0468/2025,FIR/0468/2025,2025-11-08,5,3,1,2,5,9,3,3,2025-11-08 04:00:00,2025-11-08 04:30:00,2025-11-08 05:15:00,13.049184,77.716378,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0492, 77.7164)."
469,0469/2025,FIR/0469/2025,2025-04-22,6,3,1,2,5,10,2,3,2025-04-22 15:00:00,2025-04-22 15:30:00,2025-04-22 16:15:00,13.128759,77.716296,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1288, 77.7163)."
470,0470/2025,FIR/0470/2025,2025-01-03,5,3,1,2,5,9,2,3,2025-01-03 07:00:00,2025-01-03 07:30:00,2025-01-03 08:15:00,13.02331,77.766,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0233, 77.7660)."
471,0471/2025,FIR/0471/2025,2025-08-04,6,3,1,2,5,10,1,3,2025-08-04 01:00:00,2025-08-04 01:30:00,2025-08-04 02:15:00,13.020891,77.69924,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0209, 77.6992)."
472,0472/2025,FIR/0472/2025,2025-04-08,5,3,1,2,5,9,2,3,2025-04-08 21:00:00,2025-04-08 21:30:00,2025-04-08 22:15:00,12.928198,77.35014,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9282, 77.3501)."
473,0473/2025,FIR/0473/2025,2025-10-10,6,3,1,2,5,10,2,3,2025-10-10 11:00:00,2025-10-10 11:30:00,2025-10-10 12:15:00,12.782588,77.672639,"Incident of Theft reported in Bangalore Urban district at coordinates (12.7826, 77.6726)."
474,0474/2025,FIR/0474/2025,2025-11-07,5,3,1,2,5,9,1,3,2025-11-07 02:00:00,2025-11-07 02:30:00,2025-11-07 03:15:00,12.93483,77.347336,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9348, 77.3473)."
475,0475/2025,FIR/0475/2025,2025-06-26,6,3,1,2,5,10,3,3,2025-06-26 18:00:00,2025-06-26 18:30:00,2025-06-26 19:15:00,12.921397,77.351781,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9214, 77.3518)."
476,0476/2025,FIR/0476/2025,2025-03-12,5,3,1,2,5,9,2,3,2025-03-12 05:00:00,2025-03-12 05:30:00,2025-03-12 06:15:00,13.127086,77.711386,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1271, 77.7114)."
477,0477/2025,FIR/0477/2025,2025-03-06,6,3,1,2,5,10,1,3,2025-03-06 12:00:00,2025-03-06 12:30:00,2025-03-06 13:15:00,13.001379,77.68521,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0014, 77.6852)."
478,0478/2025,FIR/0478/2025,2025-10-30,5,3,1,2,5,9,3,3,2025-10-30 14:00:00,2025-10-30 14:30:00,2025-10-30 15:15:00,13.09399,77.518614,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0940, 77.5186)."
479,0479/2025,FIR/0479/2025,2025-03-11,6,3,1,2,5,10,1,3,2025-03-11 20:00:00,2025-03-11 20:30:00,2025-03-11 21:15:00,12.926487,77.34947,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9265, 77.3495)."
480,0480/2025,FIR/0480/2025,2025-08-29,5,3,1,2,5,9,2,3,2025-08-29 08:00:00,2025-08-29 08:30:00,2025-08-29 09:15:00,13.032805,77.714562,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0328, 77.7146)."
481,0481/2025,FIR/0481/2025,2025-01-04,6,3,1,2,5,10,3,3,2025-01-04 07:00:00,2025-01-04 07:30:00,2025-01-04 08:15:00,13.092682,77.524886,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0927, 77.5249)."
482,0482/2025,FIR/0482/2025,2025-09-04,5,3,1,2,5,9,1,3,2025-09-04 17:00:00,2025-09-04 17:30:00,2025-09-04 18:15:00,13.09265,77.521651,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0927, 77.5217)."
483,0483/2025,FIR/0483/2025,2025-02-25,6,3,1,2,5,10,2,3,2025-02-25 16:00:00,2025-02-25 16:30:00,2025-02-25 17:15:00,12.835621,77.728783,"Incident of Theft reported in Bangalore Urban district at coordinates (12.8356, 77.7288)."
484,0484/2025,FIR/0484/2025,2025-11-10,5,3,1,2,5,9,3,3,2025-11-10 06:00:00,2025-11-10 06:30:00,2025-11-10 07:15:00,13.002694,77.694442,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0027, 77.6944)."
485,0485/2025,FIR/0485/2025,2025-11-26,6,3,1,2,5,10,2,3,2025-11-26 08:00:00,2025-11-26 08:30:00,2025-11-26 09:15:00,12.933584,77.35366,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9336, 77.3537)."
486,0486/2025,FIR/0486/2025,2025-11-01,5,3,1,2,5,9,1,3,2025-11-01 23:00:00,2025-11-01 23:30:00,2025-11-01 23:15:00,12.927501,77.361606,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9275, 77.3616)."
487,0487/2025,FIR/0487/2025,2025-01-15,6,3,1,2,5,10,2,3,2025-01-15 20:00:00,2025-01-15 20:30:00,2025-01-15 21:15:00,13.029589,77.714976,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0296, 77.7150)."
488,0488/2025,FIR/0488/2025,2025-11-30,5,3,1,2,5,9,1,3,2025-11-30 12:00:00,2025-11-30 12:30:00,2025-11-30 13:15:00,12.933313,77.362177,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9333, 77.3622)."
489,0489/2025,FIR/0489/2025,2025-09-17,6,3,1,2,5,10,1,3,2025-09-17 13:00:00,2025-09-17 13:30:00,2025-09-17 14:15:00,13.033307,77.710027,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0333, 77.7100)."
490,0490/2025,FIR/0490/2025,2025-04-23,5,3,1,2,5,9,1,3,2025-04-23 23:00:00,2025-04-23 23:30:00,2025-04-23 23:15:00,12.990877,77.711757,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9909, 77.7118)."
491,0491/2025,FIR/0491/2025,2025-10-03,6,3,1,2,5,10,2,3,2025-10-03 21:00:00,2025-10-03 21:30:00,2025-10-03 22:15:00,13.08089,77.519826,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0809, 77.5198)."
492,0492/2025,FIR/0492/2025,2025-07-31,5,3,1,2,5,9,3,3,2025-07-31 01:00:00,2025-07-31 01:30:00,2025-07-31 02:15:00,13.002517,77.68854,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0025, 77.6885)."
493,0493/2025,FIR/0493/2025,2025-06-04,6,3,1,2,5,10,1,3,2025-06-04 16:00:00,2025-06-04 16:30:00,2025-06-04 17:15:00,12.93862,77.341254,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9386, 77.3413)."
494,0494/2025,FIR/0494/2025,2025-11-19,5,3,1,2,5,9,3,3,2025-11-19 22:00:00,2025-11-19 22:30:00,2025-11-19 23:15:00,12.975746,77.744513,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9757, 77.7445)."
495,0495/2025,FIR/0495/2025,2025-05-16,6,3,1,2,5,10,3,3,2025-05-16 04:00:00,2025-05-16 04:30:00,2025-05-16 05:15:00,13.100275,77.513416,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1003, 77.5134)."
496,0496/2025,FIR/0496/2025,2025-10-27,5,3,1,2,5,9,3,3,2025-10-27 17:00:00,2025-10-27 17:30:00,2025-10-27 18:15:00,12.924388,77.371467,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9244, 77.3715)."
497,0497/2025,FIR/0497/2025,2025-05-20,6,3,1,2,5,10,3,3,2025-05-20 11:00:00,2025-05-20 11:30:00,2025-05-20 12:15:00,13.085016,77.520548,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0850, 77.5205)."
498,0498/2025,FIR/0498/2025,2025-07-17,5,3,1,2,5,9,3,3,2025-07-17 20:00:00,2025-07-17 20:30:00,2025-07-17 21:15:00,12.931907,77.339397,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9319, 77.3394)."
499,0499/2025,FIR/0499/2025,2025-10-26,6,3,1,2,5,10,1,3,2025-10-26 23:00:00,2025-10-26 23:30:00,2025-10-26 23:15:00,13.016441,77.695838,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0164, 77.6958)."
500,0500/2025,FIR/0500/2025,2025-03-22,5,3,1,2,5,9,1,3,2025-03-22 22:00:00,2025-03-22 22:30:00,2025-03-22 23:15:00,13.012003,77.69984,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0120, 77.6998)."
501,0501/2025,FIR/0501/2025,2025-04-25,6,3,1,2,5,10,1,3,2025-04-25 08:00:00,2025-04-25 08:30:00,2025-04-25 09:15:00,13.086589,77.520628,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0866, 77.5206)."
502,0502/2025,FIR/0502/2025,2025-08-05,5,3,1,2,5,9,3,3,2025-08-05 15:00:00,2025-08-05 15:30:00,2025-08-05 16:15:00,13.100425,77.690711,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1004, 77.6907)."
503,0503/2025,FIR/0503/2025,2025-02-23,6,3,1,2,5,10,3,3,2025-02-23 18:00:00,2025-02-23 18:30:00,2025-02-23 19:15:00,13.039707,77.720405,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0397, 77.7204)."
504,0504/2025,FIR/0504/2025,2025-12-09,5,3,1,2,5,9,1,3,2025-12-09 19:00:00,2025-12-09 19:30:00,2025-12-09 20:15:00,12.990027,77.499821,"Incident of Theft reported in Bangalore Urban district at coordinates (12.9900, 77.4998)."
505,0505/2025,FIR/0505/2025,2025-11-13,6,3,1,2,5,10,3,3,2025-11-13 14:00:00,2025-11-13 14:30:00,2025-11-13 15:15:00,13.096096,77.516316,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0961, 77.5163)."
506,0506/2025,FIR/0506/2025,2025-06-04,5,3,1,2,5,9,2,3,2025-06-04 09:00:00,2025-06-04 09:30:00,2025-06-04 10:15:00,13.096024,77.515786,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0960, 77.5158)."
507,0507/2025,FIR/0507/2025,2025-12-19,6,3,1,2,5,10,3,3,2025-12-19 22:00:00,2025-12-19 22:30:00,2025-12-19 23:15:00,13.119462,77.715317,"Incident of Theft reported in Bangalore Urban district at coordinates (13.1195, 77.7153)."
508,0508/2025,FIR/0508/2025,2025-03-28,5,3,1,2,5,9,2,3,2025-03-28 03:00:00,2025-03-28 03:30:00,2025-03-28 04:15:00,13.045807,77.721413,"Incident of Theft reported in Bangalore Urban district at coordinates (13.0458, 77.7214)."
